Usuario: u5, Paquete: p1, Estado: 13
Usuario: u5, Paquete: p2, Estado: 15
Usuario: u5, Paquete: p3, Estado: 10
Usuario: u6, Paquete: p1, Estado: 13
Usuario: u6, Paquete: p2, Estado: 12
Usuario: u6, Paquete: p3, Estado: 15
Usuario: u7, Paquete: p1, Estado: 12
Usuario: u7, Paquete: p2, Estado: 15
Usuario: u7, Paquete: p3, Estado: 10
Usuario: u8, Paquete: p1, Estado: 13
Usuario: u8, Paquete: p2, Estado: 11
Usuario: u8, Paquete: p3, Estado: 15
Usuario: u9, Paquete: p1, Estado: 10
Usuario: u9, Paquete: p2, Estado: 15
Usuario: u9, Paquete: p3, Estado: 11
Usuario: u10, Paquete: p1, Estado: 15
Usuario: u10, Paquete: p2, Estado: 10
Usuario: u10, Paquete: p3, Estado: 10
Usuario: u1, Paquete: p1, Estado: 13
Usuario: u1, Paquete: p2, Estado: 14
Usuario: u1, Paquete: p3, Estado: 12
Usuario: u2, Paquete: p1, Estado: 14
Usuario: u2, Paquete: p2, Estado: 14
Usuario: u2, Paquete: p3, Estado: 10
Usuario: u3, Paquete: p1, Estado: 12
Usuario: u3, Paquete: p2, Estado: 15
Usuario: u3, Paquete: p3, Estado: 13
Usuario: u4, Paquete: p1, Estado: 14
Usuario: u4, Paquete: p2, Estado: 15
Usuario: u4, Paquete: p3, Estado: 14
